,RID,start,end,Distance,Time
10,12094,"49.4811421725206, 11.2446709869982","49.4760217196483, 11.2695393557078",2556,2173
11,12097,"51.4441004597885, 10.5774307250977","51.4365693302441, 10.5565738677979",1815,1735
12,12099,"50.7238113810083, 10.2764613926411","50.9343244657678, 11.0040448489599",65699,54609
13,12102,"51.4223887014311, 10.1220989227295","51.4200751831667, 10.1334111392498",1021,937
14,12111,"49.4523779501977, 11.0919427871704","49.8184930013147, 11.2774658203125",51856,43101
15,12120,"51.4939024682846, 7.05390930175781","51.493202521125, 7.0479377497395",460,386
16,12129,"53.8358753490201, 9.49001169021358","53.8352719914233, 9.49319171486423",268,216
17,12141,"51.2735414936908, 8.876953125","51.1851973674009, 8.9703369140625",15127,12462
18,12168,"50.0640980706468, 8.52987098798621","50.0540307364203, 8.54308891401161",1622,1394
19,12173,"50.8602657644543, 12.953052520752","50.8833312147667, 12.9552841186523",2920,2479
20,12180,"51.2086897114444, 14.3829274177551","51.2075887225838, 14.3676924705505",1868,1532
21,12183,"52.4200243496103, 13.5039460659027","52.3976025471726, 13.4816837310791",3437,2973
22,12211,"49.995864957373, 7.99757802440581","50.0011853229088, 7.99336051626597",984,917
23,12226,"50.6430427748176, 7.23020553588867","50.64372200436, 7.22329616546631",680,534
24,12246,"50.0953222638732, 8.49012310340186","50.0719128302362, 8.5180918732658",3925,3176
25,12253,"53.8376507597794, 9.97316122055054","53.8416384784665, 9.96712136518909",744,591
26,12260,"48.7819867252864, 9.18096542358399","48.78291017138, 9.18276786804199",252,218
27,12262,"52.1575190544785, 11.6171836853027","52.2302598232712, 11.6998171806335",14496,11793
28,12266,"52.5129895375473, 13.3782314165728","53.3878658767626, 13.1067940701563",110696,90092
29,12272,"51.5674868047179, 13.2501983642578","51.561608844388, 13.1796455383301",5602,4524
30,12273,"49.9887595332028, 12.2890663146973","49.9850068883409, 12.3148155212402",2589,2110
31,12279,"50.666836844865, 12.9556405718826","50.6355092857735, 12.9520376988512",4446,4049
32,12280,"51.4888733403548, 7.01832282549731","51.4906835496228, 7.01417183889134",594,481
33,12284,"50.5648015032008, 11.7493696510792","50.5575874677626, 11.7215779423714",2794,2350
34,12296,"51.2700493423566, 6.9268798828125","51.2691238959911, 6.83476209640503",8354,6749
35,12305,"49.6052592302254, 11.0583400726318","49.6078178016427, 11.0403156280518",1994,1620
36,12314,"52.8278364449774, 9.20551300048828","52.8113613097288, 9.25289154052735",4696,3783
37,12329,"49.885344492281, 9.1021728515625","53.6573785353937, 7.83139066770673",485822,397640
38,12335,"50.0034293457339, 11.8504597828723","50.0156597884445, 11.8588770471979",2372,2200
39,12341,"53.1525749364945, 8.18553328514099","53.1592070066454, 8.12301635742188",5588,4538
40,12347,"51.4366667556999, 6.76195621490479","51.4467950205142, 6.77185893058777",1774,1477
41,12349,"51.3222861759783, 12.3698222637177","51.163033306278, 12.4392700195313",26039,21183
42,12351,"52.5112688868918, 13.3964446612299","52.5150264488705, 13.40221626524",997,803
43,12358,"51.1950247456024, 6.7633630335331","51.1931152446459, 6.75633430480957",646,520
44,12359,"51.0996530599512, 6.94389240363307","51.1018083431664, 6.91783589802071",2720,2256
45,12365,"51.1242359923336, 6.72708802747366","51.1220433073632, 6.73504829406738",979,792
46,12368,"51.4238716761529, 12.6802253705682","51.3939636925256, 12.8839945790969",16560,13508
47,12372,"52.5179113759839, 13.4041264548068","52.5195806662906, 13.4087598323822",431,367
48,12382,"51.2253975782385, 6.77659034729004","51.2040229880545, 6.7626965045929",2963,2436
49,12393,"48.3410223553856, 10.7720503057499","48.3338330396253, 10.7665111337155",1326,1104
50,12398,"47.6814262568335, 9.1818505525589","47.691222045323, 9.17552590370178",1624,1461
51,12424,"52.5178180698778, 13.4039081276342","52.5190495235363, 13.4049768443947",230,199
52,12426,"47.6809041301682, 9.1988285770731","47.66891066903, 9.21470301342197",2139,1708
53,12431,"52.4532513147294, 13.6086513991768","52.4564901545115, 13.6061573879942",675,545
54,12436,"54.32203009221, 10.125789642334","54.321729737473, 10.1016283035278",1989,1693
55,12437,"51.2177801222796, 6.72253411263228","51.1661702981721, 6.80817174885306",9921,8008
56,12459,"49.9844752417722, 10.8505439758301","49.9897949081682, 10.8488166332245",714,599
57,12465,"50.9357145523686, 11.2893104553223","51.3626706918813, 11.2602353096008",55491,45645
58,12470,"49.0010303401278, 8.41953647135142","48.985529470658, 8.4245567319158",2847,2308
59,12471,"53.1268252074036, 8.71269357197889","53.1170582078959, 8.64499568939209",17619,14602
60,12473,"51.2819298229336, 12.9358863830566","51.2883824432374, 12.9606056213379",2551,2113
61,12484,"52.3355113235352, 14.5288674831227","52.342868654292, 14.4521235223147",6570,5504
62,12492,"52.4359294622373, 13.4555853545862","52.4420966541397, 13.4287263706392",2437,2012
63,12493,"51.1509089807584, 6.42256468490814","51.1456956351678, 6.40348188229837",2877,2419
64,12499,"48.7607082971178, 9.15397167205811","48.7622147181922, 9.14403676986695",1073,1347
65,12507,"50.938002495981, 6.09482002153527","50.9307447856673, 6.09602165117394",894,714
66,12510,"48.6871074607508, 9.810791015625","48.6822625492837, 9.81272220611572",640,560
67,12514,"50.0772075458746, 8.62498641014099","50.0755627960152, 8.62306594848633",1180,961
68,12515,"50.0069193344824, 9.20269131660462","50.0686420284438, 9.36257243156433",15331,14285
69,12531,"47.9177662649242, 11.2773396700504","48.1718133575292, 11.3614082336426",33662,27253
70,12540,"51.7627503978097, 14.3048715587065","51.6420805609844, 14.3946075369604",18751,15331
71,12548,"51.6621473198775, 12.37975886032","51.6435929922121, 12.4111939757131",2818,2296
72,12555,"51.4751702689738, 6.98211193084717","51.4779893596701, 6.98597431182861",578,492
73,12559,"52.5682122806143, 13.2080554962158","52.5787492146859, 13.167028427124",3740,3041
74,12560,"51.4753022480701, 7.5560188293457","51.467183987784, 7.5615119934082",1796,1566
75,12566,"48.0876860161788, 11.5066587922775","48.087945513051, 11.5009832373471",535,459
76,12567,"48.2715845395645, 8.85461568832398","48.2701803976864, 8.82245063781738",3121,2962
77,12571,"53.3414195092745, 10.1958703994751","53.3461257656317, 10.1664733886719",3302,2670
78,12577,"50.4735116166537, 7.49226808449748","50.4839229856761, 7.44395792481555",5063,5169
79,12580,"50.0996809998612, 8.68040084838867","50.0740780832483, 8.68074417114258",3194,2777
80,12590,"50.108084110678, 8.76256227493286","50.1121573986069, 8.77131700515747",2181,1772
81,12598,"50.7506868379615, 7.08487272262573","50.7494344182069, 7.08987236022949",830,667
82,12614,"48.7650454481489, 9.29512023925781","48.7704122512198, 9.29863929748535",933,1004
83,12619,"49.0299969517953, 8.4580135345459","49.0370731651546, 8.46084594726563",832,688
84,12623,"51.0718653098122, 14.3150802073069","51.3381642043173, 12.3890922276769",153525,124156
85,12630,"52.568013167358, 13.418984413147","52.5686396320573, 13.423136472702",412,348
86,12638,"48.2539125702878, 8.9652943611145","48.2506264139304, 8.96205425262451",656,718
87,12640,"47.765190614471, 11.6367530822754","47.7662002297154, 11.6540908813477",1765,1542
88,12643,"48.1035338082782, 11.6112184524536","48.1010691359199, 11.6121625900269",459,400
89,12653,"47.7730218305667, 9.60881397128105","47.7790206385348, 9.64512906968594",3756,3603
90,12663,"51.8695248727806, 7.37985523883253","51.8581514673692, 7.37557638727594",2196,1776
91,12673,"49.6816247582971, 8.6213493347168","49.6636279582287, 8.6207914352417",3854,3177
92,12684,"49.3680942811697, 8.58135223388672","49.3644388513236, 8.57367038726807",1161,943
93,12694,"51.3854984170353, 7.71021366119385","51.3669524900244, 7.70469903945923",2651,2400
94,12697,"51.3064983737681, 6.2747726435191","51.343387501527, 6.25556063747354",5241,4234
95,12699,"48.820374531608, 10.2075985496049","48.9092319880132, 10.1561369212868",12834,10416
96,12700,"52.1720432970523, 11.6338202124462","52.1803080976091, 11.6406866675243",1452,1162
97,12704,"51.4266144970748, 7.93212890625","51.9463811657616, 7.59773254394531",72505,58981
98,12706,"48.298736785137, 10.0496149036917","48.3049530137913, 10.0426197052002",958,764
99,12734,"52.2374718564639, 7.07502365112305","52.2328461709953, 7.07210540771484",917,741
100,12744,"50.9656841662586, 7.00790405273438","50.9754045926942, 7.01065063476563",1305,1074
101,12752,"49.7833903503171, 9.18139457702637","49.7754615403337, 9.18333649635315",1024,854
102,12760,"50.1060891973159, 8.6993157863617","50.1057637770747, 8.70753049806808",590,469
103,12768,"51.3316182917797, 12.3974340407949","51.3268759633137, 12.395123401875",750,640
104,12773,"50.6434753735322, 7.17905044555664","50.639479773776, 7.19913482666016",1706,1663
105,12799,"52.1574079820278, 7.32302069664002","52.1444333273061, 7.34661340713501",2264,1847
106,12805,"52.3021196167007, 13.6336898803711","52.292425537196, 13.6410061345669",2959,2412
107,12809,"51.0536193783534, 6.9424982900955","51.0668182903937, 6.9375864947142",2271,1896
108,12816,"49.9176634304148, 10.6804618804017","49.9405268011683, 10.5853443130036",8008,7007
109,12823,"51.288955373988, 7.30574190632979","51.28766233285, 7.31217026699596",499,484
110,12845,"53.6635981298139, 9.90863800048828","53.7416520052533, 9.85748291015625",12121,9846
111,12859,"48.6471805816541, 9.44507657710347","48.6629050322027, 9.45550374093728",2003,1955
112,12863,"53.2920910407142, 7.47024547308683","53.2438996148841, 7.45144844753668",6797,5566
113,12865,"52.26835609445, 8.03782939910889","52.3173517198931, 8.01980495452881",7440,6426
114,12867,"53.619057820905, 11.4042216539383","53.6228836830455, 11.3974785804749",898,796
115,12868,"51.297134796688, 7.67813444137573","51.3091549347174, 7.70560026168823",4072,4069
116,12875,"50.48286906613, 11.3883015699685","50.4839601767895, 11.3869282789528",281,274
117,12883,"48.5293495256148, 9.34394073381555","48.5309192364834, 9.38225555393729",3535,3444
118,12889,"51.6470615927153, 7.08364963531494","51.7465690054586, 7.20234476029873",15689,12722
119,12900,"52.5668949858141, 13.4020070359111","52.5757761778484, 13.3894328400493",1551,1316
120,12903,"51.0534604155777, 13.7416127464717","51.0369031942706, 13.7636375427246",2898,2428
121,12909,"53.1699482449527, 8.22566986083985","53.1668525197985, 8.2339096069336",1100,888
122,12910,"50.7945943497005, 6.06739711754926","50.7946407356043, 6.07207673408993",488,434
123,12922,"52.1461042940249, 11.6467952728272","52.1427991284903, 11.6449069976807",489,398
124,12937,"50.1656247624412, 11.6452789236791","49.960143747877, 11.5367889334448",29318,24272
125,12938,"52.3626623113387, 13.0936861038208","52.3755534782684, 13.1079596425596",2512,2046
126,12940,"50.8055604669761, 7.02374840097036","50.8158522487071, 7.02291583962506",1407,1137
127,12941,"49.0126745075365, 12.0949172973633","49.0050233371222, 12.095775604248",1884,1622
128,12949,"51.3569360202642, 6.42412662506104","51.4026326576613, 6.34117126464844",9068,7357
129,12954,"50.8143613390743, 6.89864467082771","50.8231052809014, 6.90978562828605",2207,1752
130,12964,"52.5777251915321, 13.2362937927246","52.5873107814955, 13.2452201843262",1710,1472
131,12975,"51.2958314075372, 11.4381040843728","51.2923662904244, 11.4313825596037",1125,903
132,12976,"50.8096229433606, 8.77232551574707","50.8336976709807, 8.79627227783203",4478,4177
133,22063,"54.0834993582512, 13.4235763549805","54.080591615273, 13.4489822387695",2270,1847
134,22073,"52.4406182414539, 13.312157727778","52.4052945676231, 13.1811904907227",10874,8938
135,22076,"49.0869087228164, 9.87979888916016","51.7998789907104, 12.6776878224473",411202,336772
136,22077,"48.9463004128284, 9.24181938171387","48.9456133903772, 9.24340724945069",258,248
137,22084,"50.8228682906757, 12.960262298584","50.8249015323409, 12.960090637207",453,358
138,22088,"49.1951338704835, 7.85127639770508","49.1875087449574, 7.83482037484646",1792,1993
139,22092,"51.1801123979051, 7.1922512043966","51.1613413750276, 7.21773004610441",3439,2855
140,22095,"49.1086766077842, 11.4494705200195","49.1126855261893, 11.4252259253408",2783,2736
141,22112,"50.9584540718232, 11.610747139348","50.7716579797601, 11.5969836771546",26055,21826
142,22113,"50.7793628303266, 7.14162826538086","50.7703427216008, 7.12120056152344",1976,1576
143,22124,"50.8903221113102, 6.83499598490016","50.8913469725823, 6.79178237915039",4085,3505
144,22127,"50.9469659000812, 6.92034602099739","50.9395115025792, 6.9167014355844",1035,844
145,22129,"51.4731713236944, 6.74142122268677","51.5097735066415, 6.76729917526245",5899,4892
146,22142,"50.9644814282122, 13.9509844779968","50.9667517391111, 14.0916475653648",12695,10891
147,22144,"51.1900957425479, 7.13349151192233","51.1906112578196, 7.13969278309378",925,812
148,22162,"54.3315168355054, 12.5260276783956","54.3397905078065, 12.5445671071066",1681,1353
149,22167,"49.3566768757507, 11.231632232666","49.3520801675404, 11.2172555923462",1361,1154
150,22170,"49.5103095811964, 12.7133788727224","47.7850085043327, 11.0991820693016",266349,218725
151,22171,"53.5888387546371, 9.25498979429904","53.5769037967516, 9.3348721091752",6041,4884
152,22175,"51.4582952952924, 7.04798698425293","51.4567933815177, 7.04120635986328",1912,1541
153,22180,"52.1408615844785, 9.96069094661834","52.1385892821512, 9.95324135001283",814,634
154,22190,"48.1383812208152, 11.6032648082182","48.1342941867138, 11.6046224041202",637,549
155,22192,"48.9491794597475, 11.3960494869389","48.9830701391658, 11.4473075803835",6300,5586
156,22197,"51.6672475347571, 9.38242792908568","51.6360058245319, 9.33710932557006",6077,5612
157,22227,"50.0848939036687, 8.2287950324826","50.0788516703223, 8.23257158277556",1046,905
158,22235,"48.8428306472125, 11.9881439208984","48.8421704454622, 11.9733810424805",1450,1157
159,22238,"52.3357681760392, 11.2621489400044","52.3298511332105, 11.2352156639099",2779,2314
160,22258,"54.3069595916129, 12.923698425293","54.4238863087673, 12.6555633544922",29034,23391
161,22266,"51.2876280843873, 6.85036718845367","51.3195286045698, 6.85722827911377",4382,3683
162,22272,"49.8434768607842, 8.35430860519409","49.8606703095201, 8.36312167346478",2537,2163
163,22282,"51.6310570986167, 11.6276550292969","51.6295386766254, 11.6070556640625",1546,1290
164,22284,"49.4667973162859, 11.016670806348","49.4600568822308, 10.9975635151568",2425,2041
165,22293,"48.5995723093537, 13.7905883789063","48.5672153091475, 13.784247636795",4225,3346
166,22295,"49.531783875414, 8.50770950317383","49.5370191223858, 8.51457595825195",914,739
167,22302,"53.5758432987023, 7.77969360351563","53.4983409612688, 7.80784606933594",9774,7959
168,22315,"54.3023021413704, 12.8643421456218","54.3071098231699, 12.8508107364178",2052,1638
169,22317,"52.7622944530903, 8.26789855957031","52.7149173551177, 8.35853576660156",9738,7911
170,22318,"48.5971031310101, 8.86802673339844","48.5980007054908, 8.87557983398438",814,1028
171,22325,"51.3058014181935, 9.93341445573606","51.2705970733541, 9.97598647722043",6546,5227
172,22332,"48.1398757895693, 11.6722440719605","48.1264868854059, 11.7000961303711",3597,2951
173,22334,"50.8751107495973, 7.01252174272668","50.8769697637721, 7.01200675859582",282,226
174,22343,"52.5695188849469, 13.3254718780518","52.5721048078002, 13.32444190979",364,292
175,22345,"49.5577839932036, 8.67501497268677","49.5581243594811, 8.67727875709534",1853,1913
176,22360,"47.7902253166191, 9.55575124360621","47.8940385888804, 9.32389267852159",24670,20960
177,22368,"51.2578879959668, 6.38331077730982","51.2555815179364, 6.37794598307664",565,529
178,22384,"53.5786350055192, 10.0978946685791","53.5798207881211, 10.0924444198608",556,451
179,22395,"51.0195359012552, 13.7303942435392","51.0388897725855, 13.7608652125346",3966,3064
180,22399,"51.1003887771255, 13.6674499651417","51.2741876363466, 14.1931915353052",48844,40311
181,22414,"48.4170717800996, 12.7411365509033","48.4271964990656, 12.7434539794922",2247,1976
182,22417,"50.6053778884802, 8.77532958984375","50.6096120745971, 8.76794815063477",907,708
183,22419,"49.6530861153804, 11.0391365290343","49.6865518875896, 11.0017132772191",6752,5545
184,22421,"50.4103733303879, 7.560174465616","50.4155829394019, 7.55492448806763",2112,1689
185,22424,"51.3765906965436, 14.0811038017273","51.3535692459897, 14.205322265625",11216,9084
186,22427,"51.285747387071, 7.24226014952364","51.2941101019448, 7.26329939687275",2640,2419
187,22438,"48.7644217000512, 9.28743154305266","48.7702115952738, 9.29629013553495",1157,1202
188,22447,"47.692971510733, 10.052490234375","47.7100166238756, 10.0405597686768",3090,2493
189,22460,"50.3361480062779, 7.70905494689941","50.3301213612751, 7.71420478820801",1462,1248
190,22463,"48.0779556520244, 11.9684171681001","48.0784344817581, 11.9498920449405",1572,1286
191,22467,"52.3984895896286, 9.73988950088824","52.3853651091711, 9.76665687456262",2769,2312
192,22484,"52.5230691374295, 13.4101009368897","52.5272508576117, 13.4363651275635",2315,1990
193,22491,"51.9702915986192, 7.56925568062798","51.9741412711506, 7.55766248699729",1169,974
194,22496,"49.9877511653101, 10.8516402659006","49.9679873470505, 10.8569596639427",2825,2283
195,22517,"52.5272961987669, 13.4235671587885","52.6231047333501, 13.3880669722566",12504,10400
196,22533,"51.0054933137844, 13.7932974100113","51.0057276879948, 13.7899607419968",292,254
197,22551,"49.3201009837861, 6.91658020019531","49.3313905383712, 6.92344665527344",1521,1242
198,22560,"52.4420824199551, 13.5699605941772","52.4429082792599, 13.572986125946",827,668
199,22562,"48.906028459006, 10.3571462631226","48.9038845987754, 10.336332321167",2076,1736
200,22573,"48.3861262051593, 9.28713798522949","48.3903440883826, 9.3034565448761",1667,1540
201,22577,"50.4472571348376, 7.89419174194336","50.4368474428808, 7.88981437683106",1454,1262
202,22598,"52.3745577514391, 9.73963737487793","52.3892271383673, 9.77268218994141",3316,2714
203,22602,"48.7455911393382, 11.0730171203613","48.7317606834661, 11.0791969299316",10850,8975
204,22603,"48.1290887409594, 11.508264541626","48.1214020129858, 11.5120410919189",1213,982
205,22610,"48.139998780516, 11.5927893773915","48.1460863714643, 11.5903094836176",1020,841
206,22612,"51.4417856774829, 14.2364358901978","51.4736884015153, 14.1866111755371",5671,4584
207,22618,"48.0881205005083, 11.8369960784912","48.1317723785339, 11.8954467773438",8709,6913
208,22622,"49.7022758394918, 9.25683975219727","49.7057433472743, 9.19898986816406",5006,4621
209,22624,"49.9053763809456, 8.20505332842004","49.8993560758083, 8.17179393925471",3131,2688
210,22628,"52.8707876362682, 9.60711479187012","52.8757609818473, 9.57140922546387",3424,2824
211,22629,"51.8909191503658, 10.177116394043","51.8923184456167, 10.1839828491211",632,547
212,22631,"49.9105557845988, 7.53662109375","50.0780673377087, 8.3267891407013",67243,54144
213,22634,"49.1990085332642, 8.11065673828125","49.2129330958645, 7.96371459960938",13267,11310
214,22652,"53.9942124375691, 11.9031535534941","54.1547929982633, 11.8882469582604",25690,20766
215,22661,"50.9776828136311, 11.0276985168457","50.9693682023608, 10.9878730773926",3337,2928
216,22662,"52.9667281052342, 8.81103515625","53.2075747449706, 8.53466033935547",39993,32771
217,22671,"51.4747254353576, 7.43770122528076","51.4907486262964, 7.51018524169922",5992,4890
218,22674,"51.1993230824407, 6.6786555613362","51.2048040948774, 6.66065454483032",1599,1304
219,22678,"51.2794342446034, 12.3771286010742","51.267181441279, 12.3469161987305",3121,2575
220,22682,"51.0418964612081, 13.6918830871582","51.042074696931, 13.6941721272888",371,296
221,22687,"50.1188170284205, 9.89078521728516","50.1293274516142, 9.91056919097901",2548,2456
222,22693,"49.2697312607936, 7.04806213399024","49.2697613737052, 7.04902206752195",69,63
223,22718,"51.0501356945374, 12.1412658691406","51.2363856738603, 12.3390197753906",26912,21747
224,22723,"49.7214125449155, 10.8896827697754","49.7216247899328, 10.877548456192",999,890
225,22728,"51.6582302424002, 6.61674892195151","51.6802872012689, 6.55139161739498",5968,4853
226,22740,"51.3893712269407, 12.2943878173828","51.374453993386, 12.2698402404785",3146,2483
227,22743,"49.5386544237407, 8.38808417553082","49.5492401232725, 8.3812177204527",1869,1505
228,22751,"52.3974176080721, 9.7756165266037","52.3889586799825, 9.77203845977783",1240,1006
229,22757,"52.2854414655558, 10.5361032485962","52.2981499643946, 10.5487203598022",2219,1806
230,22760,"51.2250318362419, 7.31908321380615","51.2287322185506, 7.32633590698242",1779,1545
231,22763,"52.4405250781805, 13.5558843612671","52.4210573414589, 13.6090564727783",5523,4548
232,22765,"48.3824130030177, 10.8254814147949","48.3897224713077, 10.8079987764359",2236,1750
233,22768,"52.4487629888635, 13.6320232292928","52.4540954594178, 13.6714318175115",4698,3828
234,22774,"51.5391019545465, 6.82353973388672","51.5410404562727, 6.83864593505859",1967,1654
235,22778,"54.5026577194277, 9.54136848449707","54.5177965930879, 9.5295238494873",2602,2244
236,22784,"51.4783271928736, 13.133408773283","51.5528603222252, 13.0071158014471",13979,11267
237,22785,"53.5520384818936, 10.0103362781965","53.5389195936294, 10.0080123125008",1890,1597
238,22792,"51.6323973854615, 9.80549097061157","51.6324885364185, 9.82066154479981",2098,2290
239,22809,"50.1391479336815, 8.44768523820676","50.1329542053469, 8.42233657662291",2496,2488
240,22821,"51.2589543001514, 7.16921210289002","51.2625558667043, 7.16462731317734",1283,1385
241,22827,"51.5256682224382, 6.83187656607515","51.5223718576616, 6.84015984968937",812,655
242,22835,"52.546027249357, 13.3864268335816","52.5572304894358, 13.5812473297119",15475,13043
243,22840,"50.2627099691159, 9.99245425995469","50.2658957236733, 9.97192454211472",2098,2230
244,22841,"50.9099589844199, 6.94207191467285","50.9104910885522, 6.95108413696289",832,678
245,22856,"51.2323292939435, 6.78121089891647","51.2295548818311, 6.78189933294561",455,372
246,22864,"54.3411512904273, 10.0198745727539","54.3367807551124, 9.96974945068359",4380,3491
247,22871,"51.2358331628865, 6.38606071472168","51.2326909454412, 6.39009475708008",468,396
248,22879,"49.4779926486902, 11.1010922709829","49.4826832570797, 11.0929037828464",987,786
249,22882,"51.3032686810757, 12.2608966816915","51.3026301080272, 12.2535152424825",546,452
250,22884,"50.9474579951155, 10.6962397097232","50.8658321721804, 10.4849395668134",19204,16618
251,22893,"50.1423319151767, 8.14075108413818","49.9997874740956, 7.87160907468206",30554,25507
252,22896,"51.3500479303174, 6.54468580149114","51.3581390464755, 6.55112745516817",1760,1428
253,22897,"53.5941988816015, 9.98332679271698","53.5626859813757, 9.98095035552979",4053,3484
254,22899,"51.2497847478657, 7.14609146118164","51.2759273219852, 7.16686248779297",3914,3556
255,22907,"52.0878179922099, 10.4605293273926","52.0857576108733, 10.4623746871948",770,616
256,22915,"51.2920052686951, 13.5334610939026","51.2867805026594, 13.5167260813614",1727,1389
257,22917,"50.5697734971868, 8.28849792480469","50.5913460131071, 8.29055786132813",2929,2529
258,22936,"48.8163875301225, 9.84958648681641","48.817535524563, 9.84306335449219",706,576
259,22942,"53.5489264431991, 10.0044250488281","53.6017260031393, 10.0865650177002",8863,7517
260,22951,"48.5636414406869, 10.8609294891357","48.564077902502, 10.8689979091287",1391,1126
261,22952,"52.4842531743506, 13.4658050537109","52.4852932359752, 13.4737014770508",881,719
262,22958,"53.3958179784772, 10.0420188903809","53.4539180954431, 10.0512886047363",10166,8195
263,22969,"48.5780570754563, 9.67947006225586","48.5813997402093, 9.68050003051758",495,462
264,22978,"48.989676403435, 8.33742141723633","53.5072429248058, 12.6068115234375",667010,545542
265,22986,"51.4830131737969, 11.9234490394592","51.4888389358188, 11.9263243675232",870,718
266,23006,"48.858974940314, 8.69483582675457","48.8686593562936, 8.70790958404541",2148,1770
267,23011,"48.140002990168, 11.5704556701712","48.1402629428851, 11.5708399891082",76,62
268,23012,"50.0024377646956, 8.20683213325083","50.0060812997432, 8.20136977845323",651,544
269,23031,"54.7743755421376, 8.98152923531597","54.8067500206511, 8.97466278023785",4868,3947
270,23032,"53.5513231456644, 10.1226997375488","53.5772192685119, 10.1374626159668",3597,2958
271,23040,"48.9938475524225, 8.39350640773773","48.9885534775087, 8.42229723930359",3072,2556
272,23047,"52.2068900298257, 8.03732871921966","52.1974199958816, 8.03465366363526",1767,1720
273,23055,"50.8746515711734, 8.03060147183715","50.8772584430466, 8.03746795834741",807,630
274,23061,"48.6726204519234, 11.4683532714844","48.6767068554532, 11.4904975891113",2121,1707
275,23065,"48.6558339974839, 10.8057403564453","48.6296300172814, 10.8114910125732",3537,3009
276,23068,"50.3913436322411, 7.6453072624281","49.9822237504386, 7.53107888507657",57506,48389
277,23073,"51.6758859543529, 10.8676757477224","50.8007425550038, 12.9049248669435",199904,163319
278,23074,"49.9641403403336, 7.88161754608154","49.9684255227717, 7.90414810180664",2410,1960
279,23085,"50.0225054612001, 8.72039794921875","50.0278248250758, 8.7766170501709",5161,4238
280,23092,"50.7399657422959, 7.09416389465332","50.7466872362417, 7.11390495300293",2605,2146
281,23096,"51.6278479291957, 10.1572036743164","51.6357221958013, 10.1649928092957",1365,1067
282,23103,"52.2986379544856, 13.2536315917969","52.285986202008, 13.2975769042969",3937,3247
283,23124,"51.6357644384906, 7.53250837282394","51.6395632063695, 7.53448963077972",790,774
284,23131,"50.7915112760076, 6.11904144287109","50.7859766972523, 6.07921600341797",3819,3445
285,23135,"50.9707115160847, 13.8718155123161","50.973773722488, 13.8811050742652",1349,1087
286,23142,"51.1375647622038, 6.29483342170715","51.1410984206449, 6.27428770065308",1630,1323
287,23143,"49.3047550676721, 10.5752334589488","49.3592046856288, 10.5093154901988",8956,7351
288,23153,"51.9921073486171, 9.12036895751953","51.9839612389954, 9.09552097320557",2270,1956
289,23159,"52.5511554091165, 13.1531737750629","52.5461509366747, 13.1529951095581",878,705
290,23164,"48.1169922644605, 11.593279838562","48.2773621594964, 11.9042853266001",33205,26989
291,23168,"51.1555689145236, 11.8056571483612","51.1338116105498, 11.7145156860352",7615,6251
292,23171,"48.8684341099573, 12.5639820098877","48.8573787665483, 12.5613300038822",2388,1996
293,23200,"50.4251436281596, 12.9673004150391","50.4403426489194, 12.975754737854",2909,2694
294,23211,"51.3352431817605, 12.6079273223877","51.3339427846656, 12.628333568573",1677,1397
295,23263,"51.7460569629452, 11.4436340332031","51.7544526026199, 11.4595913852099",1879,1502
296,23271,"50.8547555813333, 12.9538327096088","50.8477839156849, 12.9666832502699",1552,1316
297,23291,"48.1481624120917, 7.6969455066137","48.1139133309693, 7.70000566667142",5057,5100
298,23293,"54.2998605254844, 10.1804530620575","54.3020642467025, 10.1744019985199",644,519
299,32082,"51.3254466303737, 12.4150850771548","51.3252756676876, 12.4193551539065",337,276
300,32084,"48.431386061733, 11.5976428968133","48.422012163761, 11.5995311719598",1276,1060
301,32091,"48.7725118056078, 9.16091322898865","48.7795079175493, 9.07882690429688",7545,7020
302,32095,"52.177116122246, 10.1726531982422","52.1714478107622, 10.2155685424805",3919,3293
303,32100,"51.0329945538941, 13.7283039075555","51.0226175195471, 13.7236690503778",1611,1562
304,32110,"51.798699623242, 10.457181930542","51.7878098416974, 10.4610013961792",2771,2549
305,32114,"54.2988787256281, 13.0606359243393","54.3169012342638, 13.0576586723328",3084,2500
306,32128,"49.7400905634042, 9.00642012711615","49.7389173870816, 9.01033401489258",390,426
307,32132,"51.3819452959807, 7.49463609230588","51.3786588045163, 7.5005170267832",1076,979
308,32133,"50.7858776658998, 12.8926792123821","50.7842768541845, 12.8907909372356",250,197
309,32135,"48.6201883186906, 9.33548111010168","48.6214602633248, 9.3377107847482",272,228
310,32136,"50.0396203570987, 7.13018703303533","50.0421036935679, 7.13147449336248",490,380
311,32147,"48.7789308370763, 9.18066501617432","48.8045457581585, 9.19585704803467",3972,3356
312,32153,"48.9518398170687, 12.9651921987534","48.9521165890654, 12.9652512073517",14,11
313,32156,"51.4910300848574, 6.29653930664063","51.5005203686408, 6.29001617431641",1382,1121
314,32159,"51.5349256096744, 10.4111284017563","51.5490100226972, 10.4425692558289",3461,3225
315,32162,"48.5081261001189, 9.62405562400818","48.5029863096883, 9.62567567825318",1323,1066
316,32167,"50.6257427978421, 9.49577522173058","50.5128152511898, 9.24478915287182",24639,22007
317,32169,"54.1318722454724, 12.0124340057373","54.1316451008518, 12.0168542861938",241,192
318,32172,"53.5650759860528, 10.0274293444818","53.6075119716834, 9.98670101165772",6152,5080
